'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1'
1.36859,0.837581,0.558693,1.53834,0.840363,0.63987,1.79349,0.770772,0.623796,0.44091,0.969292,-0.711965
1.32946,0.845789,0.550468,1.51276,0.843313,0.633802,1.78533,0.788138,0.647414,0.43381,0.987888,-0.719521
1.29582,0.845748,0.531757,1.52731,0.883803,0.700559,1.85441,0.767554,0.636462,0.434256,0.935815,-0.795379
1.28535,0.804121,0.463308,1.62004,0.815523,0.633916,1.90027,0.729378,0.591619,0.489037,0.775513,-0.789505
1.26637,0.768679,0.399,1.60424,0.831103,0.651483,1.91351,0.708314,0.563498,0.478862,0.824837,-0.757006
1.27132,0.771766,0.406567,1.65365,0.812971,0.642071,1.90174,0.730372,0.593497,0.499611,0.795331,-0.718441
1.2889,0.792246,0.447536,1.55375,0.825188,0.623265,1.80083,0.738076,0.576915,0.47801,0.867015,-0.697285
1.29932,0.801708,0.467677,1.55526,0.814433,0.607727,1.80765,0.767871,0.623614,0.476938,0.866188,-0.703018
1.30913,0.827372,0.511686,1.51347,0.866616,0.669055,1.88688,0.727461,0.585177,0.458026,1.01339,-0.564865
1.30913,0.827372,0.511686,1.51347,0.866616,0.669055,1.88688,0.727461,0.585177,0.458026,1.01339,-0.564865
1.28307,0.845075,0.523424,1.48441,0.849582,0.631146,1.90112,0.746363,0.617323,0.457233,0.979165,-0.619827
1.39026,0.823549,0.548523,1.57799,0.829962,0.639869,1.86893,0.785225,0.66697,0.550792,0.747935,-0.611914
1.38901,0.841817,0.57531,1.58161,0.865828,0.69506,1.90601,0.757956,0.636005,0.550375,0.745175,-0.617368
1.36188,0.836229,0.55323,1.50277,0.807182,0.575401,1.9939,0.750148,0.646378,0.554884,0.749919,-0.59615
1.36042,0.821037,0.529684,1.43841,0.844248,0.60257,1.96074,0.770005,0.668066,0.598584,0.637901,-0.638544
1.36042,0.821037,0.529684,1.43841,0.844248,0.60257,1.96074,0.770005,0.668066,0.598584,0.637901,-0.638544
1.37012,0.834743,0.555217,1.46774,0.810683,0.565486,1.91074,0.749503,0.624565,0.59099,0.610574,-0.700041
1.43474,0.787566,0.515838,1.4702,0.809747,0.565166,1.93236,0.742667,0.619903,0.60561,0.603276,-0.671976
1.46654,0.787747,0.530541,1.50757,0.780223,0.536978,1.95691,0.732351,0.610626,0.571151,0.716012,-0.597995
1.41406,0.815377,0.547825,1.5122,0.741553,0.480906,1.97768,0.657796,0.503904,0.549523,0.73393,-0.636929
1.43859,0.80604,0.545333,1.5108,0.756646,0.502965,1.9947,0.746505,0.641106,0.642503,0.570406,-0.630736
1.43859,0.80604,0.545333,1.5108,0.756646,0.502965,1.9947,0.746505,0.641106,0.642503,0.570406,-0.630736
1.43859,0.80604,0.545333,1.5108,0.756646,0.502965,1.9947,0.746505,0.641106,0.642503,0.570406,-0.630736
1.45822,0.80342,0.550342,1.52139,0.750124,0.497581,1.97276,0.750505,0.641781,0.616321,0.620423,-0.618845
1.41497,0.844548,0.59202,1.44734,0.778973,0.50874,1.96452,0.715058,0.586575,0.580658,0.725821,-0.555905
1.39701,0.843495,0.581765,1.49529,0.748273,0.483844,1.96553,0.710906,0.580594,0.60878,0.669732,-0.564069
1.43719,0.816512,0.560395,1.53121,0.754412,0.50804,1.98828,0.710048,0.584867,0.601321,0.698134,-0.540919
1.43719,0.816512,0.560395,1.53121,0.754412,0.50804,1.98828,0.710048,0.584867,0.601321,0.698134,-0.540919
1.43785,0.812997,0.555431,1.55882,0.732385,0.486042,1.96837,0.698656,0.562918,0.585865,0.743797,-0.514319
1.45068,0.79205,0.529879,1.51899,0.755742,0.505014,1.93481,0.681125,0.528202,0.564241,0.80424,-0.486117
1.47401,0.776248,0.516593,1.50582,0.785407,0.544018,1.91178,0.675192,0.513355,0.559309,0.809656,-0.492916
1.42738,0.789357,0.515091,1.50746,0.825352,0.604635,1.91267,0.685913,0.52967,0.568676,0.787652,-0.497799
1.43779,0.812876,0.555221,1.46395,0.861213,0.639602,1.96426,0.67946,0.533107,0.529517,0.858312,-0.515996
1.46154,0.815017,0.569226,1.41391,0.831206,0.571499,1.99115,0.705001,0.577987,0.624112,0.7197,-0.450568
1.46553,0.800811,0.549691,1.40425,0.811724,0.537628,1.98684,0.709103,0.583101,0.636969,0.723885,-0.413404
1.44787,0.817829,0.567276,1.42431,0.840319,0.590101,1.97855,0.71696,0.592874,0.596442,0.797721,-0.404512
1.46602,0.810298,0.564145,1.4734,0.84538,0.620036,1.99324,0.722991,0.605479,0.622172,0.74509,-0.41725
1.43924,0.827966,0.578525,1.5355,0.787758,0.559806,1.98281,0.714632,0.590418,0.582482,0.813131,-0.419772
1.37217,0.849354,0.578177,1.55354,0.794854,0.577675,1.92305,0.717133,0.579201,0.564473,0.846206,-0.422464
1.35618,0.847753,0.567567,1.56357,0.775894,0.553175,1.91694,0.726047,0.590992,0.517639,0.980978,-0.373359
1.36784,0.809109,0.515598,1.57862,0.770424,0.550792,1.98235,0.659489,0.507581,0.618681,0.798981,-0.345067
1.384,0.792589,0.498967,1.52234,0.785312,0.550758,1.94277,0.6833,0.533489,0.618772,0.780743,-0.372199
1.28539,0.772105,0.415299,1.57773,0.796406,0.58943,1.94548,0.67938,0.528291,0.661639,0.719453,-0.364146
1.30921,0.76504,0.418221,1.61136,0.826495,0.6472,1.99187,0.694591,0.562543,0.677437,0.695673,-0.366159
1.35213,0.770568,0.44967,1.56445,0.83388,0.640506,1.91759,0.716947,0.577508,0.641809,0.757652,-0.351439
1.21981,0.771207,0.374008,1.52894,0.786489,0.555234,1.85816,0.683938,0.51206,0.672159,0.742355,-0.307196
1.2129,0.800382,0.413314,1.56204,0.75163,0.516177,1.8661,0.680154,0.50857,0.634962,0.784966,-0.326508
1.26164,0.806691,0.453199,1.54527,0.843272,0.647021,1.88298,0.722178,0.576201,0.597732,0.881274,-0.275712
1.29032,0.78934,0.443997,1.52385,0.869247,0.677299,1.86647,0.735102,0.591104,0.593112,0.866192,-0.310784
1.30983,0.822814,0.505236,1.53488,0.877072,0.693543,1.88321,0.772631,0.651953,0.584955,0.874941,-0.320112
1.34746,0.823262,0.52627,1.55407,0.844135,0.651813,1.81348,0.774072,0.634614,0.586538,0.853446,-0.347952
1.31553,0.860157,0.564415,1.50333,0.866031,0.663922,1.85193,0.783483,0.659667,0.536452,0.983665,-0.304623
1.31944,0.863472,0.571543,1.50773,0.872797,0.675928,1.83174,0.794276,0.670175,0.549463,0.954987,-0.30549
1.35566,0.851619,0.5731,1.47542,0.855153,0.635587,1.84827,0.777023,0.648955,0.54392,0.944521,-0.338905
1.3497,0.841237,0.554415,1.45562,0.88888,0.677377,1.82189,0.760328,0.616429,0.556368,0.90559,-0.358025
1.38438,0.800358,0.510811,1.46413,0.907741,0.709484,1.81303,0.770853,0.629656,0.579107,0.89337,-0.308954
