# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.261597 -----------------
#dely    BF    dB     BFVar
0.050  0.4620  0.0003  0.0051
0.150  0.4263  0.0003  0.0071
0.250  0.3777  0.0002  0.0046
0.350  0.3218  0.0002  0.0033
0.450  0.2678  0.0002  0.0035
0.550  0.2140  0.0002  0.0028
0.650  0.1684  0.0001  0.0039
0.750  0.1261  0.0001  0.0017
0.850  0.0909  0.0001  0.0038
0.950  0.0637  0.0001  0.0012
1.050  0.0416  0.0001  0.0012
1.150  0.0265  0.0000  0.0011
1.250  0.0153  0.0000  0.0009
1.350  0.0084  0.0000  0.0007
1.450  0.0039  0.0000  0.0021
1.550  0.0014  0.0000  0.0001
1.650  0.0001  0.0000  0.0001
1.750 -0.0000 -0.0000  0.0000
