# ICODE=321, JCODE=-321
# SIGMA_QGP=1.1439, SIGMA_HAD=0.566917
# NSAMPLE=10000000, Tblast=78.2451, UPERPblast(x,y)=(0.7535,0.7535)
# SOVERUD=0.7847, QUARK_ENTROPY_RATIO=0.1831, BARYON_FUDGE=0.6756
# ------- normalization=0.0587218 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0876  0.0005  0.0780  0.0039  0.0058
0.150  0.0839  0.0005  0.0750  0.0033  0.0056
0.250  0.0775  0.0005  0.0694  0.0031  0.0051
0.350  0.0676  0.0004  0.0609  0.0024  0.0044
0.450  0.0612  0.0004  0.0553  0.0020  0.0038
0.550  0.0525  0.0004  0.0477  0.0015  0.0033
0.650  0.0427  0.0004  0.0389  0.0012  0.0026
0.750  0.0341  0.0003  0.0313  0.0009  0.0019
0.850  0.0271  0.0003  0.0248  0.0006  0.0017
0.950  0.0204  0.0003  0.0187  0.0004  0.0013
1.050  0.0143  0.0002  0.0134  0.0002  0.0007
1.150  0.0091  0.0002  0.0086  0.0001  0.0004
1.250  0.0053  0.0001  0.0051  0.0001  0.0002
1.350  0.0026  0.0001  0.0026  0.0000  0.0000
1.450  0.0011  0.0001  0.0011  0.0000  0.0000
1.550  0.0002  0.0000  0.0002  0.0000  0.0000
1.650  0.0000  0.0000  0.0000 -0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
